,OMA_Groups,PANTHER8_LDO,InParanoidCore,Orthoinspector,RSD,Hieranoid_2,OMA_Pairs,EnsemblCompara_v2,Metaphors,InParanoid,EggNOG,PANTHER8_all
P49368,,True,,,,False,True,,,,,
P49418,False,True,True,True,True,True,True,True,True,True,True,
P49427,True,True,True,,True,,True,,,True,True,
P49441,True,True,True,True,True,False,True,True,,False,False,
P49447,True,,,,True,,True,,,False,,
P49448,,True,False,,,,False,,,False,,
P49459,,,False,,,,,,,False,,
P49585,False,False,False,,,False,False,,,False,,
P49588,,True,,,,False,,,,True,,
P49589,,,,,,,,,,,True,
P49590,,False,True,,,,,,,False,,
P49591,False,,,,,False,,,,,,
P49593,False,False,True,False,,False,False,,False,False,False,
P49619,False,True,False,True,,False,False,,,False,,
P49638,False,,False,True,True,True,,True,,False,True,
P49640,True,True,True,,True,True,True,,,True,True,
P49674,,,False,,,,False,,,False,,
P49675,False,True,False,True,True,False,True,True,,True,False,
P49682,False,True,True,True,True,True,True,True,,False,True,
P49683,False,True,False,True,,,True,,,,True,
P49685,True,True,True,True,True,True,,True,,True,,
P49703,True,False,False,False,False,False,True,,,False,False,
P49711,True,,,,,True,,,,True,,
P49715,False,False,False,True,True,False,True,,,False,False,
P49716,False,False,True,False,,True,True,,,True,True,
P49720,False,,False,True,True,True,False,True,False,False,False,
P49721,True,True,False,True,True,False,True,True,,True,True,
P49736,False,False,,,True,True,True,,,,True,
P49746,True,True,True,,,,False,,,True,,
P49747,True,True,True,,,,False,,,True,,
P49748,True,,True,,True,True,,True,True,True,,
P49753,True,,False,,True,,,,,False,,
P49754,False,,,,,False,True,,True,,,
P49755,False,,True,,,True,,True,True,,,
P49758,False,True,False,False,True,False,False,False,,False,False,
P49759,,True,True,,,,,,,False,,
P49760,True,,True,True,True,,True,,,False,,
P49761,True,True,True,True,True,,True,,,False,True,
P49763,False,True,False,False,True,True,False,False,True,True,False,
P49765,False,True,False,False,True,True,False,False,True,True,False,
P49767,False,True,False,True,True,True,True,True,True,False,False,True
P49768,,True,,,,,False,,,False,,
P49770,True,,,,,True,,,,,,
P49771,False,,,,,,,,,,,
P49773,,,,,,,,,,True,,
P49788,True,False,True,True,True,True,True,,,True,True,False
P49789,True,,False,,,,,,,,,
P49792,,False,,,False,,,,,False,,
P49795,False,,False,False,True,False,False,False,,False,,
P49798,False,True,False,False,True,False,False,False,,False,False,
P49802,False,True,False,False,True,False,False,False,,False,False,
P49810,True,,True,,,,False,,,False,,
P49840,False,False,False,False,True,True,True,False,,False,False,True
P49841,,,True,,,,True,,,True,,
P49848,False,True,False,,,,False,False,,False,,
P49862,False,True,True,False,,,True,,,True,True,True
P49863,True,True,True,True,True,,True,True,,False,,
P49888,False,False,False,False,,,,,,False,True,
P49895,False,True,True,,False,,False,,,False,,True
P49902,,,,,,,False,,,False,,
P49903,,,False,,,,,,,False,,
P49910,True,True,,True,True,,True,True,,True,,True
P49916,True,True,True,,True,True,True,,,True,True,
P49917,True,True,,True,True,True,True,,,True,True,
P49961,True,True,False,,True,True,True,,,True,True,
P50052,True,,True,True,True,True,True,True,True,True,True,
P50053,True,True,True,,,,,True,,,True,
P50148,,True,False,,,,False,,,False,False,
P50151,True,True,True,True,True,,True,,,False,True,
P50219,False,,True,,,True,True,,,True,True,
P50221,False,True,True,False,True,,False,False,True,False,False,True
P50222,False,True,False,False,True,,False,False,,False,False,True
P50225,False,False,False,False,True,,True,,,False,True,
P50226,False,False,False,False,True,,True,,,False,True,
P50238,False,False,True,True,True,True,False,True,,False,False,False
P50281,False,False,False,False,,False,False,,,False,,
P50336,,,,,,False,,,,,,
P50391,True,,True,True,,True,,,,,,
P50395,True,True,False,,True,,False,,,False,,
P50406,True,True,False,True,True,True,True,,,False,True,
P50416,False,,False,,,,False,,,False,False,
P50443,True,True,True,,True,,True,False,,False,True,
P50452,True,True,False,,True,,False,,,False,,
P50453,True,True,False,,True,,False,,,False,,
P50454,True,True,False,True,True,True,False,,,False,True,
P50458,False,True,True,False,True,True,True,False,,True,False,
P50461,False,True,True,True,True,False,False,True,,True,True,True
P50479,False,False,False,True,True,True,True,True,True,True,True,True
P50502,False,False,False,True,True,True,True,True,,True,False,True
P50539,False,True,True,,False,,True,,True,False,,
P50542,True,True,,True,True,True,True,True,,True,True,True
P50548,False,False,False,False,False,False,False,,False,False,False,
P50549,,,,,False,,True,,,False,,
P50553,False,True,,,,,False,,,,,
P50570,False,,False,,False,False,False,,False,False,,
P50579,False,,False,False,False,False,False,False,,False,False,
P50591,False,,False,,,False,False,,,False,,
P50607,False,True,True,,True,False,False,,,False,False,
P50613,,,True,,,,,,,,,
P50616,False,False,False,False,True,False,False,,False,False,,True
P50749,False,True,False,True,True,True,False,True,True,False,True,
P50851,False,False,False,,,,False,,False,False,,
P50876,False,True,True,True,True,False,True,True,,True,True,
P50897,True,,,,,,,,,,,
P50990,True,True,False,True,True,False,True,,,True,False,
P50991,,,False,,,False,True,,,True,,
P50993,True,True,True,,,,True,,,True,,
P50995,True,False,False,True,True,False,False,,,,True,
P51003,True,,False,,,,False,,,False,,
P51114,False,False,True,False,True,,,False,False,False,False,False
P51116,False,False,True,False,True,,True,False,False,False,False,False
P51124,True,True,True,True,True,True,True,True,,False,,
P51148,,False,False,,,,True,,,False,,
P51149,True,True,,,,,,True,,,,
P51151,True,True,True,,True,True,True,True,True,True,True,
P51153,True,True,True,True,True,True,True,,,True,,
P51157,True,,,,,,,,,,,
P51159,,,True,True,,True,True,,,True,True,
P51160,True,False,True,True,,,False,True,,False,True,
P51161,True,True,True,True,True,True,False,True,,False,True,
P51164,True,,True,,True,,True,,,False,True,
P51168,,False,,,,,False,,,False,,
P51170,True,False,,,,,False,,,False,,
P51172,True,False,,,False,,False,,,,,
P51178,False,True,True,,True,,False,True,,False,,
P51398,False,,False,False,,,,False,,,False,
P51449,False,True,False,False,False,False,True,,,False,True,
P51452,False,True,False,,,False,True,,,False,True,
P51504,True,True,True,True,True,,True,True,,False,,
P51508,False,True,False,True,False,,True,False,True,False,,True
P51511,True,False,False,False,True,,True,,,False,True,
P51512,False,False,False,False,True,False,False,,,False,False,
P51513,True,,False,,,,False,,,False,,
P51522,False,True,False,True,False,,False,False,True,False,,True
P51523,False,True,False,True,False,,True,False,True,False,,True
P51530,False,True,True,,,True,True,,,,,
P51531,True,,True,,True,,True,,,True,,
P51532,True,,True,,,,True,,,True,,
P51553,,,False,,True,,,,,False,,
P51572,False,,False,False,True,,,,True,False,True,
P51575,False,True,False,False,,False,False,False,,False,False,
P51582,True,True,True,True,True,True,True,True,,True,True,
P51587,False,,True,,,False,False,,,False,,
P51589,True,False,False,True,True,,True,True,,False,,
P51610,True,,,,,,,,,,,
P51617,False,True,True,True,True,True,True,True,,True,True,True
P51636,False,True,True,True,True,True,False,,,False,True,
P51648,,,True,,,,True,,,True,,
P51654,True,True,True,,True,,True,,,False,True,
P51659,True,,,,,True,True,,,,True,
P51668,,False,False,,,,False,,,False,True,
P51671,True,False,False,,True,,False,,,False,,
P51674,,,,,,,,,,False,,
P51677,False,True,True,True,True,,True,True,True,False,,
P51679,True,True,False,True,True,,True,True,,False,,True
P51681,True,True,True,True,True,,True,True,True,True,True,
P51684,True,True,False,True,,True,,True,True,False,True,True
P51685,True,True,True,True,True,,True,True,,False,,
P51686,True,True,False,True,True,True,,True,True,False,True,True
P51688,False,,,,,,,,,,,
P51689,False,,False,,True,,,,,False,,
P51690,False,False,False,,,,,,,False,,
P51692,False,,False,False,,,False,False,False,False,False,
P51693,False,True,True,,False,,False,,,False,True,
P51784,True,True,True,,True,,,,,True,True,
P51786,True,True,True,True,True,,True,True,,True,,
P51788,False,False,,,True,False,True,,,False,False,
P51790,False,False,True,,,False,True,,,False,False,
P51793,False,False,True,,,False,,,,False,False,
P51795,False,False,True,,,False,,,,False,False,
P51797,False,False,True,,True,False,True,,,False,False,
P51798,False,False,True,,True,False,True,,,False,False,
P51800,False,False,True,True,True,False,True,,,False,False,
P51801,False,False,True,True,True,False,,,,False,False,
P51805,True,False,False,,False,,False,,True,False,False,
P51808,True,True,True,,True,,,,,True,,
P51809,,,True,,,True,True,,,,True,
P51811,False,True,True,True,True,True,True,True,,False,True,True
P51813,False,False,False,False,False,,True,,,False,,
P51814,False,True,False,True,False,,True,False,True,False,,True
P51817,,True,True,,,,True,,,True,,
P51828,False,False,,False,False,,False,False,,False,False,
P51841,False,True,,True,,,True,False,,False,,
P51843,False,True,False,,True,,False,,,False,,
P51854,,True,True,,True,,,,,False,,
P51857,True,True,,,,,False,,,False,False,
P51858,False,False,False,,,,False,,,False,False,
P51888,False,True,True,True,True,,True,True,True,True,True,
P51911,True,True,False,,True,,False,,,False,False,
P51946,True,,True,True,,,True,False,,,False,
P51955,True,,,,,,,,,True,,
P51956,False,True,True,True,True,True,True,,True,True,True,
P51957,False,True,,False,,True,True,,True,,True,
P51959,False,True,True,True,True,True,True,True,,False,True,
P51965,True,True,False,,True,,False,,,False,False,
P51991,True,True,True,True,True,,True,,,False,,
P51993,False,True,False,,,,True,,,False,True,
P52179,True,True,True,True,True,True,True,True,True,True,True,
P52198,True,True,False,True,True,True,True,True,,True,True,
P52209,,True,,,,,,,,,,
P52272,True,,True,,True,True,True,,,True,,
P52292,True,True,,,,,,,,True,True,
P52294,,False,True,,,,True,,,True,False,
P52298,False,,,,,,,,,True,,
P52306,True,True,True,True,True,True,True,True,True,True,True,True
P52333,False,True,True,True,True,True,True,False,,False,,
P52429,False,True,False,True,True,False,False,,,False,,
P52435,False,True,False,False,,False,False,False,,False,False,
P52564,True,,True,,True,True,,,,False,,
P52565,False,True,False,,,,,,,False,,
P52566,False,,False,True,True,,True,,,False,,
P52569,True,True,,,,,,,,False,True,
P52594,False,,,,,True,True,,False,True,,
P52597,,True,True,,,True,True,,,False,False,
P52630,False,False,False,False,True,,False,False,False,False,,
P52732,True,,,,True,,True,,,,,
P52735,False,True,False,True,True,True,False,True,True,False,True,True
P52736,True,True,True,True,True,,True,True,,True,,True
P52737,True,True,True,True,True,,True,True,True,True,,
P52738,True,True,True,True,True,,True,True,,True,,
P52739,True,True,True,True,True,True,True,True,True,True,True,
P52740,True,True,True,True,True,,True,True,,True,,True
P52741,True,True,True,True,True,,True,True,True,True,,True
P52742,False,True,False,True,False,,True,False,True,False,,True
P52743,True,,,,,,True,True,,,,
P52744,True,,,,,,True,True,,,,
P52746,True,True,True,True,True,True,,,,True,True,
P52747,False,,False,True,False,,False,,,False,,
P52757,False,True,True,False,True,True,True,True,,False,True,True
P52789,False,,True,,True,,True,,,True,,
P52790,False,True,True,,True,,True,,,True,,
P52797,False,True,True,True,True,True,False,True,False,False,True,
P52798,False,False,False,True,True,False,,False,,False,,
P52799,False,True,,,,,False,,False,False,,
P52803,False,False,False,True,True,False,True,False,,False,False,
P52823,False,,,,True,,,,,,,
P52824,False,,False,,,False,False,,,False,True,
P52848,False,True,False,True,,True,False,False,,False,False,
P52849,False,,False,True,,True,False,False,,False,False,
P52888,False,False,False,,,,False,False,,False,False,
P52895,,,,,,,False,,,,False,
P52907,,,False,,True,,False,True,,False,False,
P52943,False,True,True,True,True,True,False,True,,True,True,
P52951,False,True,,False,True,True,False,False,,False,False,True
P52954,False,True,True,False,True,,False,False,True,False,False,True
P52961,False,False,False,False,,False,False,False,False,False,,
P53007,True,,,,,,,,,,,
P53350,True,,,,,,True,,,True,,
P53355,False,True,,True,True,True,True,,,,,
P53365,False,,True,True,,,,,,True,,
P53367,False,True,True,True,True,,True,,,True,,
P53384,True,True,,,,False,,,,,,
P53396,False,,,,,,False,,,,,
P53420,True,True,True,True,True,,,,True,True,True,False
P53539,False,True,False,,False,,False,,,False,True,
P53582,False,True,,,,,,,,,,
P53634,True,True,False,,,,True,True,,False,,
P53671,True,,True,,True,True,,,,True,,
P53672,True,False,False,False,True,True,False,,True,False,True,
P53673,True,False,False,False,True,True,False,,True,False,True,
P53674,False,False,False,False,True,False,False,False,,False,False,
P53675,True,True,False,,,,False,,,False,,
P53677,,False,False,,,,False,,,False,,
P53708,,,,,,,True,,,False,,
P53778,True,True,True,True,True,,,True,,True,True,
P53779,True,True,True,True,True,False,True,,,True,False,
P53794,,,,,,,True,,,True,,
P53816,False,,False,True,True,,True,,True,False,,
P53985,False,True,True,False,True,,,False,True,False,True,
P53992,False,,,,,,False,,,False,,
P54107,False,False,False,True,True,,False,True,False,False,False,
P54132,False,False,,,,False,False,,,,False,
P54136,,,,,,False,,,,,,
P54219,True,True,False,True,True,True,,True,,True,True,True
P54252,False,,False,,,,False,,,False,,
P54277,False,False,,,,False,False,,False,,,
P54284,True,True,True,,True,,True,,True,True,True,
P54289,False,,,,,,True,,,True,True,
P54296,True,True,True,True,True,True,True,True,True,True,True,
P54315,,,False,,,,False,,,False,,
P54317,,False,False,,,,False,,,False,,
P54368,False,False,False,,,,False,,,False,,
P54619,False,False,False,False,True,False,False,False,,False,False,False
P54646,True,,True,,,,,,,True,,
P54652,True,False,True,True,True,False,True,,,True,True,
P54687,,False,,,,False,,,,False,,
P54707,True,True,True,,True,,True,,,True,,
P54709,True,True,True,,True,,True,,,False,True,
P54710,,,False,,,,,,,,,
P54725,True,True,True,,,,True,,,True,True,
P54727,True,,,,,,True,,,True,True,
P54750,True,False,False,,True,,False,,,False,True,
P54753,True,True,True,True,True,,True,True,,True,True,
P54756,True,True,True,True,True,,True,True,,True,True,
P54762,True,True,True,,,,True,True,,True,True,
P54793,True,True,True,,,,,,,True,,
P54819,,,,,,,,True,,,,
P54829,False,False,False,False,False,False,True,,,False,False,
P54840,,True,False,,,,False,,,False,,
P54845,True,False,False,,,,False,,,False,,
P54849,False,False,False,False,False,False,False,False,False,False,False,
P54868,False,True,False,,,,False,,,False,,
P54920,,,False,,,,,,,True,,
P54922,False,False,False,False,False,False,False,False,False,,False,False
P55000,False,True,False,False,False,False,False,False,,False,,
P55008,True,False,False,True,True,False,False,True,,False,True,True
P55011,False,True,False,,,,False,,True,False,,
P55017,False,True,False,,True,,False,,True,False,True,
P55036,False,,,,,,,,,,,
P55039,True,True,,,True,,True,,,True,,
P55040,True,True,True,True,True,True,False,True,,False,,
P55042,True,True,True,True,True,True,False,True,,False,True,
P55055,False,True,False,False,False,False,True,,,False,True,
P55058,True,True,True,,True,,True,,,False,False,
P55060,,,,,,True,,,,,,
P55064,,False,False,,,,False,,,False,,
P55072,False,,,,,,True,,,False,,
P55073,False,True,,,False,,False,,True,False,,
P55075,True,True,True,,True,,True,,,True,,
P55082,False,False,False,False,False,False,False,False,False,False,False,False
P55083,False,False,False,False,False,,False,False,,False,,
P55085,True,True,True,True,True,,True,True,,True,True,
P55087,,,False,,False,,,,,False,,
P55103,False,,True,,,,True,,,False,True,
P55160,False,False,False,False,True,False,False,False,False,False,False,False
P55196,False,,,,,,True,,True,,,
P55199,False,,True,,True,,False,,,False,,
P55201,False,,,,,,False,,,False,,
P55209,False,,False,,True,,False,,,False,,
P55265,False,True,True,,True,,False,,False,False,True,
P55268,True,True,True,False,,True,True,,True,False,True,True
P55273,False,True,True,True,True,,True,True,,True,True,True
P55283,True,True,True,True,True,True,True,True,True,False,True,
P55285,True,True,True,True,True,True,True,True,True,False,True,
P55286,True,True,True,True,True,True,True,True,True,False,True,
P55287,True,True,True,True,True,True,True,True,True,False,True,
P55289,True,True,True,True,True,True,True,True,True,False,True,
P55290,True,True,True,True,True,True,,True,,False,True,
P55291,True,True,True,True,True,True,,True,,False,True,
P55317,False,True,True,,False,,False,False,,False,True,
P55318,False,True,True,True,False,,False,False,,False,True,
P55327,False,False,False,True,True,False,False,,,False,False,False
P55344,False,False,False,False,False,False,False,False,False,False,False,
P55347,False,False,True,,,,False,,,False,True,
P55769,False,,,,,,,,,,,
P55771,False,True,,,,,True,,,True,,
P55774,True,False,False,,False,False,,,,False,,
P55786,,True,,,,True,,,,True,,
P55795,True,True,True,,True,True,True,,,False,False,
P55809,True,,False,,,False,False,,,False,,
P55822,False,,False,False,True,False,False,False,,False,False,
P55851,,True,False,,,,,,,False,,
P55854,,True,False,,,,,,,False,False,
P55899,True,True,False,True,True,True,True,True,,False,,
P55916,,,False,,True,,True,,,False,,
P56159,False,False,False,,,,False,False,True,False,False,
P56177,False,True,True,False,True,,False,False,,False,False,True
P56178,False,True,True,False,True,True,False,False,,False,False,True
P56179,True,True,True,,,,,,,True,True,
P56180,,,,,True,True,,,,,,
P56182,False,True,True,,True,False,False,,False,False,,
P56192,True,False,,,,,,True,,,True,
P56199,False,False,False,False,False,True,False,,,False,False,
P56202,True,True,False,,True,,True,True,True,False,,
P56211,False,,False,False,,False,False,False,,False,False,
P56270,True,True,True,True,True,False,,True,,True,True,
P56278,,False,,,,,,,,,,False
P56279,True,False,True,True,True,True,True,,True,True,,False
P56373,False,True,False,False,True,False,False,False,,False,False,
P56377,True,True,False,,,,False,True,,False,,
P56381,False,False,False,False,False,False,False,False,,False,,False
P56470,True,,,,,,True,,,False,,
P56524,False,False,True,,,False,False,,True,False,False,
P56539,False,,True,,,,False,,,False,,
P56545,True,False,True,,,True,,,,False,,
P56557,False,,False,False,,False,,False,,False,False,
P56559,False,True,False,False,True,True,False,,False,False,False,
P56597,True,,True,,,,,,False,,,
P56645,True,False,,,,,True,,,False,,
P56696,False,False,True,,,,,,,False,False,
P56703,True,True,False,,,,False,,,False,False,
P56704,,,False,,True,,False,,,False,,
P56706,,False,False,,,,False,,,False,,
P56730,True,True,,,,True,True,,,,True,
P56746,True,True,False,True,True,,False,True,,False,True,
P56747,,True,,,,,,,,,,
P56748,,,True,,,,True,,,True,,
P56750,,True,True,,True,,True,,,True,,
P56817,True,False,True,False,True,True,,,,,True,
P56851,,,False,,,,False,,,False,,
P56856,True,True,False,,True,,False,,,False,,
P56915,True,True,True,,,True,True,,,True,,
P56937,False,True,True,True,True,True,True,True,,True,True,
P56945,,True,,,,,,,,False,,
P57052,False,False,False,True,True,True,True,True,False,True,False,False
P57055,False,True,False,False,True,,False,,False,True,False,
P57057,,True,True,,True,True,True,,,True,True,
P57058,True,True,True,True,True,,True,,,True,True,
P57059,True,True,True,,,,True,True,,True,True,
P57060,False,,False,,,,,,,False,,
P57075,True,False,True,,,,True,,,False,,
P57077,True,False,False,False,False,False,True,False,False,False,,
P57078,False,True,True,True,True,,True,,,True,,
P57082,True,True,True,,True,True,True,,,True,False,
P57087,True,True,True,True,True,True,True,True,,False,True,
P57103,,False,True,,,,False,,,False,,
P57105,False,,False,False,False,,False,,,,,
P57682,False,False,False,False,False,,False,,False,False,False,
P57721,True,True,False,,,,False,,,False,True,
P57723,True,True,False,,True,,False,,,False,True,
P57727,True,,True,True,,,True,,True,False,True,
P57729,,True,True,,True,,True,True,,True,,
P57730,,,True,True,True,,,,,True,,
P57735,True,True,True,,True,True,True,,,True,True,
P57771,False,True,False,False,True,False,False,False,,False,False,
P57773,False,True,False,,True,True,False,True,,False,True,
P57775,True,,True,True,True,True,True,True,,True,True,
P57789,False,False,,False,,,False,,,False,False,
P57796,True,False,True,True,True,False,,,,False,False,
P58004,False,True,False,False,,False,False,,,False,False,
P58005,False,,False,False,True,False,False,,,False,False,
P58062,False,False,False,False,False,False,False,False,,False,,
P58166,False,True,True,,True,False,,,,False,True,
P58173,True,True,False,True,True,,True,,True,False,,
P58180,True,False,False,True,True,,False,,,False,,
P58181,True,True,False,True,True,,True,True,,False,,
P58182,True,,,,,,,,,,,
P58215,False,False,,,,,False,,,False,True,
P58294,True,,False,True,,,,True,,False,False,
P58317,False,True,False,True,False,,True,False,True,False,,True
P58335,False,False,False,False,,,False,False,False,False,False,False
P58340,False,False,,,,,True,,,False,,
P58417,True,False,False,True,True,True,False,True,,False,True,False
P58418,False,True,False,False,True,False,True,False,False,True,False,
P58499,False,False,False,False,,False,False,False,,False,False,False
P58511,,,False,False,,,,,,False,,
P58546,True,True,True,True,True,,,True,True,,True,True
P58550,True,True,True,,True,,True,,,False,,
P58743,True,True,True,,,,True,False,,False,True,
P58753,False,True,True,True,False,True,True,True,,True,True,True
P58872,False,False,False,False,,False,False,False,,False,True,
P58876,,True,,False,True,,,,True,False,,
P59044,True,False,True,False,True,False,True,,,True,,
P59045,True,False,True,False,True,False,True,,,True,,
P59046,True,True,True,True,True,True,True,,,True,,
P59047,True,False,True,,True,False,True,,,True,,
P59095,False,True,False,True,True,False,True,True,,True,False,
P59190,True,,True,True,True,True,True,,,True,True,
P59282,False,True,False,,,,False,True,,False,False,
P59510,False,,False,,True,,False,,,False,,
P59646,True,True,False,True,True,,True,,,True,,
P59665,True,False,,True,True,,,,,,,True
P59666,,,,True,,,,,,,,
P59780,,True,False,,True,,False,,,False,,
P59796,True,False,False,,True,,True,,,False,,
P59817,True,True,True,,True,True,True,,,True,,
P59826,True,True,True,True,True,True,True,,,False,,
P59827,True,True,True,True,True,True,True,,,False,False,
P59923,True,True,,True,True,,True,True,,,,
P60033,False,True,False,,,,,,,False,,
P60153,True,False,False,True,True,True,False,True,,False,,
P60201,True,True,True,True,,,True,,,False,True,
P60321,False,True,True,,True,True,False,,,True,,
P60323,False,True,,True,,,False,,True,True,True,
P60484,False,,,,,,False,,,,,
P60507,True,,True,False,,True,,False,,,,
P60608,,,,False,,True,,False,,,,
P60660,True,False,False,False,True,,False,,,False,False,
P60709,,,True,,,,,,,True,,
P60763,,,False,,False,,False,,,False,False,
P60827,False,True,True,,True,,True,True,,False,,
P60842,True,True,True,,,False,True,True,,True,,
P60852,True,False,True,False,True,False,True,False,,False,True,
P60880,,True,False,,,,True,,,False,True,
P60891,,,False,,,,,,,False,,
P60900,True,True,False,True,True,False,True,,,True,True,
P60981,True,True,False,,,,True,,,False,,
P60983,True,,False,,,,True,,,False,,
P61006,True,True,True,True,True,True,True,,,True,True,
P61018,True,,True,,,,True,,,True,,
P61019,True,,True,,,,True,,True,True,,
P61020,,False,False,,,,True,,,False,,
P61024,,,,,,,,,,False,,
P61026,True,True,True,True,True,True,True,,,True,,
P61073,True,True,False,True,True,True,,True,,False,,True
P61077,,,False,,,,False,,,False,True,
P61081,,,,,,,False,False,,False,,
P61086,True,,,,,,,,,,,
P61088,,,False,,,,False,True,,False,,
P61106,,True,,,,,True,,,,,
P61158,,True,True,,,,True,,,True,,
P61163,True,,True,True,True,,True,True,,True,True,
P61204,False,True,False,False,True,,False,,False,False,False,
P61221,True,,True,,True,False,True,True,True,,True,
P61224,True,False,True,,,True,,True,,True,True,
P61225,True,False,True,True,True,True,True,,,True,True,
P61236,True,True,False,,True,,False,,True,False,False,
P61254,,,False,,,,,,,False,,
P61266,True,True,True,True,True,False,True,True,True,True,True,True
P61289,False,False,False,False,False,False,False,False,False,False,False,False
P61296,False,True,,,,,False,,,False,,
P61326,True,True,False,,,,,False,False,False,,
P61328,True,True,True,True,True,,,,,True,True,
P61421,False,False,False,False,True,False,True,False,False,False,False,False
P61457,False,,,,,False,,,,False,,
P61513,,,False,,,,,,,False,,
P61565,,,,,,False,,,,,,
P61566,,,,,,False,,,,,,
P61567,True,,,,,False,,,,,,
P61570,,,,,True,False,,,,,,
P61586,True,True,False,True,True,True,True,True,,True,,
P61587,True,True,False,True,True,True,True,True,,True,True,
P61599,True,True,True,True,,True,False,True,,True,True,
P61601,True,False,False,True,,,True,False,,False,True,
P61619,False,False,False,False,False,False,False,False,,False,False,
P61626,False,,False,False,False,,False,False,,False,False,
P61647,False,True,False,True,True,,True,False,,False,True,
P61764,True,,True,,,True,True,,,True,,
P61812,False,True,True,False,True,False,True,,,False,True,
P61923,,,False,,,,False,,,False,,
P61964,True,,True,True,,True,True,,,True,True,
P61966,True,,False,,True,,False,,,False,,
P61970,,,False,,,,,,,,False,
P61978,True,True,True,False,True,True,True,,,True,True,
P61981,,True,True,,True,,False,,,False,True,
P62068,False,True,False,,,False,,,,False,,
P62070,,,True,True,,,True,True,,True,True,
P62079,,,False,,,,,,,False,,
P62136,,,False,,,,False,,,False,,
P62140,True,,False,,,,False,,,False,,
P62166,True,,False,True,,,True,False,,False,True,
P62191,False,True,True,True,True,,True,True,True,False,,
P62195,False,True,True,True,True,True,True,True,,False,,
P62249,,,,,,False,,,,,,
P62256,True,,,,,,,,,,,
P62258,,,,,,,False,,,False,,
P62306,False,,False,False,True,,True,False,,True,False,
P62310,,,False,,,,True,True,,,,
P62312,False,True,False,False,,,,False,,True,False,
P62314,True,,,,,,,,,,,
P62318,True,,True,,,,,,,,,
P62324,False,False,False,False,True,False,False,,False,False,True,
P62330,False,True,False,False,,,False,,False,False,False,
P62333,False,,True,True,True,True,True,True,True,False,,
P62380,False,,,,,False,,,,,,
P62424,False,True,True,True,True,False,True,True,,True,True,
P62491,,True,True,,,,True,,,True,,
P62502,True,False,False,True,True,True,False,True,True,False,,
P62508,,False,True,,True,,True,,,False,,
P62633,False,,,,,,,,,False,,
P62699,True,True,False,,True,True,False,,,False,False,
P62701,,,False,,,,False,,,False,,
P62714,,,False,,,,False,,,False,,
P62736,,True,True,,True,,True,,,True,True,
P62745,,True,False,True,True,True,True,True,,True,True,
P62750,False,False,False,False,,,True,False,,False,False,
P62760,True,False,False,True,,,True,False,,False,True,
P62805,,,,,,,,,,False,,
P62807,True,True,,False,True,,,,True,False,,
P62829,False,False,False,,,,,,,,False,
P62834,True,False,True,,,True,True,True,,False,True,
P62837,,,False,,,,False,,,False,True,
P62854,False,,False,,,False,,,,False,False,
P62873,True,True,True,True,True,True,True,,,True,True,True
P62879,True,True,True,True,True,True,True,,True,True,True,True
P62891,True,,,False,,,,False,,False,False,
P62917,,,,,,False,,,,,,
P62937,False,False,False,,,,True,,,False,False,
P62942,False,False,False,,,False,,,,False,,
P62955,False,,False,,,,False,,,False,False,
P62979,True,,True,,,True,True,,,True,,
P62993,False,False,False,True,,True,True,False,True,False,True,
P62995,False,True,False,False,False,False,False,,,False,False,True
P63000,,False,False,,,,False,,,False,False,
P63010,False,True,False,,,,False,,,False,,
P63027,,,True,,,,,,,False,True,
P63096,True,False,False,,,,True,,,True,,
P63098,,,False,,,,True,,,False,,
P63104,,True,True,,,,False,,,False,,
P63120,True,,,,True,False,,,False,,,
P63129,,,,,True,False,,,False,,,
P63131,,,,,,False,,,False,,,
P63132,,,,False,,False,,False,,,False,
P63133,False,,,False,False,False,,False,,,False,
P63135,,,,False,False,False,,False,,,,
P63136,,,,False,False,False,,False,,,False,
P63146,,,False,,,,True,,,False,,
P63151,,True,False,,,,False,,,False,,
P63162,False,True,False,,,False,False,,False,True,,
P63165,,,False,,True,True,False,,,False,False,
P63172,,,,,,,,,,True,False,
P63218,True,True,True,True,True,,True,,,False,True,
P63252,False,False,False,,True,,False,,,False,True,
P63261,,True,True,,,,,,,True,,
P63267,,True,True,,True,,True,,,True,True,
P63313,,False,,False,,False,,False,,False,,False
P63316,False,,False,False,False,,True,,,False,False,
P67775,,,False,,,,False,,,False,,
P67936,True,True,True,True,True,False,True,True,True,True,True,
P68032,,True,True,,,,True,,,True,,
P68036,False,False,False,False,False,False,,,,False,False,False
P68104,,,False,,,,False,,,False,,
P68106,,,False,,,,,,,False,,
P68133,,True,True,,True,,True,,,True,,
P68363,,,False,,False,,,,,False,False,
P68366,,False,False,,False,,False,,,False,False,
P68371,,,False,,,,False,,,False,,
P68400,,,,,True,,False,False,,False,,
P68402,False,True,False,,True,,False,,,False,,
P68431,,,,,,,,,,False,,
P68543,False,True,False,,True,True,True,,,False,True,
P69849,,,,,True,False,,,,,,
P78310,True,True,True,True,True,True,True,True,,False,True,
P78324,True,True,True,True,True,True,True,True,,True,True,True
P78329,True,True,True,,,,True,True,True,False,True,
P78332,True,True,,True,True,,True,,True,True,True,
P78333,,True,,,,,,,,False,,
P78334,False,False,False,True,True,,True,,,False,True,
P78337,False,True,True,False,True,,False,False,True,False,False,
