,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RSD,EggNOG,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,Avg,HGT_flag
Q6DWJ6,7,2,1,6,1,6,2,5,6,4,3,3,4,3.8461538461538463,False
O75970,2,8,0,9,47,6,5,5,8,10,47,5,9,6.090909090909091,False
Q8IUI4,1,1,6,1,1,0,1,6,15,11,1,6,6,3.4166666666666665,False
Q8N3S3,3,2,2,9,7,5,7,3,6,3,6,4,5,4.769230769230769,False
O14977,51,23,1,52,0,51,1,19,21,36,22,24,25,25.076923076923077,True
Q9HAW8,1,1,15,1,1,30,7,10,22,1,35,23,6,11.76923076923077,False
Q96C45,6,24,22,7,21,22,31,21,20,24,46,19,21,19.833333333333332,False
P62070,7,6,22,16,11,20,6,10,15,15,10,14,14,12.76923076923077,False
A1KZ92,5,5,1,5,3,26,1,53,12,50,48,47,53,23.76923076923077,False
Q9BT43,2,8,8,9,14,8,9,8,5,4,14,16,6,8.538461538461538,False
Q7Z7C8,10,1,3,2,7,10,1,15,15,1,7,11,9,7.076923076923077,False
P17027,1,1,1,1,1,1,1,1,25,1,15,15,17,4.666666666666667,False
P39023,1,6,5,15,0,1,7,1,2,28,3,25,21,8.846153846153847,False
Q9Y6W6,20,20,3,3,5,4,6,20,18,21,31,10,22,14.076923076923077,False
P98170,19,20,1,7,1,22,0,12,23,4,12,13,14,11.384615384615385,False
ENSP00000369943,3,5,0,37,0,5,0,0,0,1,0,0,24,3.1666666666666665,False
Q9HCF6,3,7,8,8,3,6,3,4,7,9,6,3,4,5.461538461538462,False
Q9Y2M0,39,39,0,19,23,38,38,38,12,38,23,11,39,27.46153846153846,True
Q99447,7,6,16,7,4,17,11,28,4,41,28,22,21,14.25,False
Q8WU39,11,6,13,12,11,11,11,11,11,11,11,11,11,10.846153846153847,False
Q8IW40,9,9,9,9,1,9,9,9,4,9,1,7,9,7.230769230769231,False
Q9NR33,22,1,9,8,6,16,3,3,20,10,5,20,20,11.0,False
Q8WW33,5,6,2,8,2,3,15,4,6,3,2,3,4,4.0,False
Q9UJ68,21,20,36,35,18,12,45,12,14,18,16,32,39,24.46153846153846,False
Q8NGG4,0,3,1,3,1,0,1,1,6,4,3,2,3,2.1538461538461537,False
O00472,1,8,1,1,0,7,5,5,5,5,5,4,5,4.0,False
Q9H069,43,17,20,18,4,17,17,15,18,1,34,14,15,15.833333333333334,False
Q17RB0,1,1,1,1,1,6,1,1,4,3,26,4,8,2.6666666666666665,False
P01604,1,1,1,1,1,1,1,1,27,6,21,8,28,7.538461538461538,False
ENSP00000394784,1,1,1,1,1,1,1,1,1,1,1,9,10,1.0,False
A6NL88,5,2,6,6,7,5,5,5,4,1,6,4,5,4.6923076923076925,False
Q5W0V3,1,14,5,4,3,3,13,13,13,5,9,10,3,7.384615384615385,False
O95905,7,7,14,12,7,6,6,7,9,6,7,12,9,7.916666666666667,False
P57735,2,2,26,2,2,3,2,27,2,26,29,22,23,12.923076923076923,False
Q9UBU8,2,14,13,14,9,8,5,5,6,19,8,8,5,8.083333333333334,False
Q96M98,19,20,23,22,19,17,19,18,18,22,19,19,19,19.53846153846154,False
O60674,0,1,0,0,1,0,0,5,3,3,19,14,14,3.4166666666666665,False
Q8N456,0,1,0,53,1,0,1,0,0,1,40,46,50,14.846153846153847,False
P08833,1,2,3,1,1,2,1,1,1,10,51,1,6,2.5,False
Q9ULD4,25,18,2,3,2,23,25,7,6,26,7,9,3,12.0,False
Q86UD3,3,11,3,3,17,26,7,8,20,9,17,23,9,12.0,False
P54278,26,4,16,17,6,38,4,23,4,35,11,10,4,15.23076923076923,False
ENSP00000375533,0,0,0,0,1,0,1,0,0,0,1,0,0,0.23076923076923078,False
Q8IUS5,17,48,50,46,13,35,19,35,36,14,24,29,45,31.615384615384617,True
Q86UL8,1,6,3,4,4,6,0,2,3,6,4,2,3,3.3846153846153846,False
P78552,2,2,1,2,1,0,1,0,1,1,6,0,1,1.3846153846153846,False
Q9H1X1,22,19,8,7,18,19,19,20,19,17,18,19,18,17.153846153846153,False
Q96IS3,2,2,2,11,3,6,1,10,25,23,18,20,7,10.0,False
O15169,2,6,8,8,4,4,3,4,4,4,9,2,4,4.769230769230769,False
O15143,0,0,26,18,0,23,7,5,6,9,5,4,10,7.25,False
O43255,2,2,25,1,16,2,1,22,17,21,16,18,17,12.307692307692308,False
Q9H8Y5,10,10,26,17,12,10,9,10,11,9,12,11,10,10.916666666666666,False
O75521,4,12,46,44,39,37,4,35,40,44,38,40,36,32.23076923076923,True
Q9Y2D8,7,8,1,2,21,21,19,19,6,18,20,20,22,14.153846153846153,False
Q8IWT6,0,0,7,0,0,0,0,7,6,26,39,46,21,8.833333333333334,False
O75879,16,16,29,21,18,12,12,13,16,13,16,15,15,15.25,False
P16860,4,4,4,3,1,4,1,3,1,0,1,2,3,2.3846153846153846,False
P54578,4,4,5,4,11,3,2,2,2,2,11,5,2,3.1818181818181817,False
Q9NY35,1,1,0,2,0,0,0,0,0,0,0,5,6,0.75,False
Q8NGG8,0,0,0,1,1,0,1,0,6,2,3,2,1,1.3076923076923077,False
Q9UM00,13,14,14,16,14,15,15,13,13,15,14,14,15,14.23076923076923,False
P42127,2,1,4,3,3,2,1,3,2,2,3,2,2,2.3076923076923075,False
Q8WUT9,3,8,10,27,9,8,8,8,8,13,13,26,26,12.846153846153847,False
P17020,0,0,0,0,0,16,1,0,28,3,16,17,21,7.846153846153846,False
Q5VXH5,1,1,3,1,0,0,1,2,10,3,3,16,15,3.3333333333333335,False
Q9GZV5,2,2,2,2,2,8,3,8,6,4,23,5,8,4.333333333333333,False
A6NN06,1,1,0,1,1,0,1,0,0,0,1,1,1,0.6153846153846154,False
Q53GD3,2,16,19,2,2,14,17,16,7,22,16,12,18,12.538461538461538,False
P31645,3,5,5,1,0,49,2,4,29,2,36,1,1,7.416666666666667,False
Q9UHG0,7,8,7,8,8,2,7,5,6,7,8,7,19,6.666666666666667,False
P01042,3,3,3,4,2,1,1,1,1,1,2,1,1,1.8461538461538463,False
Q9HCN6,1,1,5,7,1,5,1,1,9,3,1,7,6,3.6923076923076925,False
P25940,1,1,1,58,0,1,8,7,12,8,42,7,10,8.166666666666666,False
Q9NQV6,6,6,0,2,13,21,5,5,6,5,13,13,13,7.25,False
Q96N68,1,1,1,1,1,1,1,1,1,19,1,1,1,1.0,False
P30740,5,3,25,6,2,7,9,49,39,53,41,47,50,25.846153846153847,True
Q96JH7,6,6,6,6,0,5,5,5,6,5,0,5,6,4.6923076923076925,False
Q5EBM4,1,1,13,12,1,1,1,1,29,1,1,6,14,4.416666666666667,False
Q96A47,3,4,2,2,4,25,3,5,6,10,4,3,19,5.416666666666667,False
Q6MZW2,3,2,0,1,7,0,8,6,5,5,22,4,4,3.75,False
ENSP00000406392,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,False
Q0VAA2,4,3,6,4,23,24,5,22,23,24,23,20,0,13.923076923076923,False
Q9UPU9,2,6,3,2,3,14,2,3,3,3,3,4,4,3.1666666666666665,False
Q13394,0,0,1,0,0,5,1,1,1,1,1,1,2,1.0769230769230769,False
P42892,1,5,21,18,2,44,2,38,39,40,37,37,37,24.692307692307693,False
Q01094,2,2,2,2,2,8,7,20,24,30,18,22,19,12.153846153846153,False
Q6UY09,2,2,2,7,2,6,1,1,12,1,4,9,11,4.615384615384615,False
A8MT70,11,11,1,2,10,8,9,8,12,8,10,4,9,7.923076923076923,False
O75563,0,5,0,1,1,5,8,4,5,10,17,4,4,3.9166666666666665,False
Q99732,6,8,4,7,12,16,4,14,1,18,12,7,17,9.692307692307692,False
Q9H0F5,1,9,0,1,0,21,23,22,0,21,16,19,3,10.461538461538462,False
Q10469,23,23,9,24,21,20,21,20,20,20,21,22,22,20.46153846153846,False
Q5PRF9,3,8,3,3,3,11,3,3,5,3,5,4,6,4.083333333333333,False
Q96CW6,14,6,8,6,7,3,5,6,6,3,7,11,6,6.166666666666667,False
Q9BYX4,52,51,8,6,2,6,16,18,17,23,47,30,27,23.307692307692307,False
O60870,5,4,13,13,4,4,4,5,4,4,4,4,2,4.0,False
ENSP00000415171,15,0,4,5,1,0,5,0,16,5,1,9,14,5.769230769230769,False
Q9NWB7,16,17,18,16,16,15,15,16,16,15,16,18,16,16.153846153846153,False
A8MWP4,1,1,1,1,1,1,1,1,1,1,1,15,1,1.0,False
O94822,10,9,5,15,8,4,6,6,8,6,8,15,9,8.384615384615385,False
P15923,2,1,1,0,1,5,9,4,5,8,5,3,6,3.8461538461538463,False
ENSP00000329080,0,0,0,0,1,0,1,0,0,0,1,10,0,0.25,False
Q5T5A8,0,1,1,0,0,0,1,0,0,4,11,4,1,1.0,False
Q8N8Q8,37,10,14,13,3,34,8,12,2,11,13,24,26,15.923076923076923,False
Q6UW10,0,1,2,1,1,3,1,3,2,2,1,4,1,1.6923076923076923,False
Q96NA2,1,1,1,4,1,4,1,1,1,10,5,7,9,3.5384615384615383,False
Q15572,10,6,0,0,10,11,6,6,11,10,10,11,12,7.923076923076923,False
Q7Z7J9,1,1,6,1,4,6,4,6,1,4,4,6,5,3.769230769230769,False
Q9UH90,1,2,2,0,0,1,2,7,8,5,2,6,7,3.3076923076923075,False
Q6NUJ1,4,4,17,4,4,33,20,26,30,29,20,18,22,17.76923076923077,False
Q8TE77,5,21,4,4,4,24,0,29,8,26,41,7,8,11.666666666666666,False
Q68D85,0,0,0,0,60,6,8,8,0,9,60,12,12,5.0,False
P29965,0,0,1,0,0,0,1,0,1,1,4,1,8,0.75,False
Q15012,1,7,8,7,5,2,4,5,6,3,5,3,7,4.846153846153846,False
Q8NGZ0,3,3,2,3,2,2,1,1,7,2,2,1,3,2.4615384615384617,False
Q8WUH6,1,2,2,2,1,1,1,1,1,1,1,1,1,1.2307692307692308,False
Q8TDU5,1,1,5,5,1,2,1,2,2,2,1,4,4,2.3846153846153846,False
P31153,2,5,42,28,2,22,7,12,4,31,11,30,4,15.384615384615385,False
P03915,32,35,7,46,36,26,48,27,31,32,34,34,49,33.61538461538461,True
P54315,1,1,5,1,7,11,10,5,25,8,6,5,3,5.25,False
B3KMH2,0,0,0,0,1,0,1,0,0,0,1,1,1,0.38461538461538464,False
P25205,4,4,13,5,1,3,3,3,13,1,3,9,4,5.076923076923077,False
P43026,4,4,3,12,3,4,4,9,10,8,4,11,11,6.6923076923076925,False
Q96M89,3,3,3,3,1,1,1,1,3,1,1,1,3,1.9230769230769231,False
O14734,42,38,45,41,39,36,37,36,36,39,37,38,36,37.916666666666664,True
Q8N4P2,1,3,25,14,16,18,15,15,18,28,16,16,14,15.307692307692308,False
A6NHN0,1,1,1,1,1,0,1,0,6,7,21,5,1,2.0833333333333335,False
Q6P0Q8,3,21,10,10,4,26,8,19,50,17,5,12,16,12.583333333333334,False
Q9Y5P3,3,3,4,4,4,3,3,3,3,7,9,3,3,3.5833333333333335,False
Q93052,0,4,2,19,4,22,1,19,23,23,4,16,25,12.461538461538462,False
O75716,12,13,14,12,6,7,7,7,8,7,6,34,33,9.0,False
Q9NPB1,1,1,28,2,9,27,25,25,25,26,9,25,25,17.53846153846154,False
Q8WUW1,21,6,6,20,1,21,12,16,22,21,1,22,22,14.692307692307692,False
Q96AC1,2,4,3,6,2,4,4,3,3,3,3,3,3,3.3076923076923075,False
Q8N7C0,20,20,19,20,15,19,18,18,17,3,20,17,19,17.307692307692307,False
Q9Y2B9,4,1,1,4,1,3,4,4,4,4,1,4,4,3.0,False
A6NGY3,0,0,1,0,1,7,1,0,0,0,1,0,7,0.36363636363636365,False
Q9NUB1,15,20,26,14,16,22,23,32,6,21,16,28,24,20.23076923076923,False
Q9Y2L5,11,11,19,18,13,5,11,7,16,5,13,8,8,11.153846153846153,False
A6NKF1,15,19,25,22,6,12,24,25,19,21,10,21,6,17.307692307692307,False
Q6P4Q7,2,20,0,9,2,33,22,20,15,18,22,39,11,16.384615384615383,False
Q9NZH4,0,0,7,4,0,10,3,1,2,5,1,2,2,2.25,False
Q9NPH0,17,23,20,21,1,15,20,17,9,22,10,17,16,16.0,False
P51688,48,49,6,48,47,47,49,47,50,46,47,48,50,44.76923076923077,True
Q9H324,3,3,2,2,1,2,0,7,8,0,5,6,2,3.1538461538461537,False
Q9H213,0,0,0,0,1,0,13,0,12,15,13,8,2,4.923076923076923,False
O43314,1,5,24,15,1,11,7,8,7,19,7,8,6,7.916666666666667,False
Q9BRR8,11,11,16,11,8,6,9,5,9,5,6,8,9,8.166666666666666,False
Q8TCA0,4,1,6,49,1,7,4,4,4,7,1,4,50,3.909090909090909,False
Q8IYK4,0,8,6,1,13,5,3,4,3,6,17,4,5,4.833333333333333,False
Q02246,0,0,0,0,0,0,0,3,3,0,5,16,2,1.0833333333333333,False
P04437,1,2,3,8,1,4,1,1,4,4,4,7,3,2.9166666666666665,False
Q8WXK3,0,1,1,0,21,0,0,0,7,7,21,48,49,5.2727272727272725,False
ENSP00000401425,1,1,20,20,1,1,1,1,1,41,1,1,1,4.166666666666667,False
Q13478,1,1,1,1,2,0,1,0,4,1,2,4,7,1.5,False
P0C7Q6,1,1,1,1,1,11,7,7,26,6,38,24,52,10.333333333333334,False
Q8IW19,17,18,9,8,6,6,16,6,6,5,6,15,7,9.615384615384615,False
Q99714,37,37,40,36,34,33,34,34,13,33,33,33,38,33.46153846153846,True
Q5SWL8,1,1,3,1,1,1,1,1,13,1,3,6,13,1.8181818181818181,False
P05198,6,10,12,8,1,4,1,2,2,2,1,20,18,5.583333333333333,False
O94772,0,0,1,1,0,0,1,0,0,0,0,2,1,0.46153846153846156,False
P01612,1,1,5,1,1,1,1,1,27,4,20,9,28,7.6923076923076925,False
Q9H7B4,8,19,22,20,8,12,14,12,17,21,10,16,21,15.384615384615385,False
Q9H3U5,38,42,44,39,3,38,43,41,14,37,41,35,42,35.15384615384615,True
P09681,2,0,0,2,4,2,1,0,2,2,4,4,2,1.9230769230769231,False
A8MU46,7,12,2,2,2,13,15,11,11,10,28,18,15,9.833333333333334,False
Q7L8C5,2,2,2,2,4,1,1,1,28,6,18,21,25,8.692307692307692,False
P84101,27,9,30,29,16,10,11,5,26,27,16,18,25,19.153846153846153,False
O60285,1,4,2,1,4,2,21,3,39,25,4,43,22,13.153846153846153,False
Q9ULI2,3,2,2,3,1,49,49,49,33,43,40,49,44,28.23076923076923,True
Q99665,1,1,3,1,1,1,3,1,1,1,6,3,5,2.1538461538461537,False
P59665,1,1,0,1,0,0,1,0,0,1,0,0,1,0.46153846153846156,False
P13521,1,0,1,0,0,0,0,0,0,0,0,0,26,0.16666666666666666,False
Q9NQ48,22,4,4,22,21,22,5,4,22,22,21,3,47,14.333333333333334,False
Q5BJH7,2,11,21,21,5,18,4,4,8,10,5,6,6,9.307692307692308,False
Q14011,0,2,51,50,17,44,21,16,43,53,39,20,20,28.923076923076923,True
P49643,2,2,4,5,8,1,2,0,0,1,8,4,2,3.0,False
P16442,4,3,3,2,1,2,2,1,1,2,2,1,5,2.230769230769231,False
Q9H3S5,4,4,6,7,4,4,3,3,3,3,4,4,3,4.0,False
Q99932,1,1,1,1,12,12,12,12,1,12,12,0,1,6.0,False
Q8NFR9,1,1,2,1,1,1,1,1,1,3,1,0,2,1.2307692307692308,False
Q96PE5,0,0,0,0,0,0,1,0,0,0,0,5,0,0.46153846153846156,False
A6NGZ8,2,0,2,2,1,2,1,0,2,2,1,2,2,1.4615384615384615,False
Q8IYD9,8,8,2,2,1,4,1,4,5,4,1,1,3,3.3846153846153846,False
Q9BYD1,15,36,28,19,12,13,17,15,10,12,12,10,14,14.75,False
Q9NVM4,17,17,2,18,2,15,41,42,17,44,23,15,45,22.923076923076923,False
Q99437,8,8,8,8,4,5,4,4,5,5,28,6,35,7.75,False
Q96RF0,2,19,8,21,5,10,9,14,5,13,8,17,45,10.916666666666666,False
P27216,0,19,22,18,0,22,25,14,15,24,31,15,15,16.923076923076923,False
Q8WZ82,18,16,15,12,14,16,19,11,16,9,12,12,9,13.76923076923077,False
A8MXJ8,1,1,3,1,1,3,1,0,0,3,1,0,0,1.1538461538461537,False
Q96I59,27,29,34,30,5,20,23,23,21,27,21,31,6,22.846153846153847,False
P01717,1,1,4,1,1,1,1,1,7,5,22,25,24,7.230769230769231,False
P35225,1,0,0,0,1,0,1,0,1,0,1,2,1,0.6153846153846154,False
Q9Y693,2,8,7,7,7,7,7,8,7,11,7,7,7,6.75,False
Q8N0Y7,1,1,1,1,1,1,1,39,35,45,29,28,43,17.384615384615383,False
P19320,2,2,2,9,1,0,2,0,7,1,6,4,5,2.6666666666666665,False
Q6UY18,1,1,3,3,1,0,1,7,12,7,17,22,25,6.25,False
O75962,3,7,8,3,7,6,6,2,6,2,7,2,4,4.846153846153846,False
Q32M45,1,8,9,30,1,8,22,15,8,20,8,19,21,13.076923076923077,False
Q8IV77,2,2,2,2,2,1,1,6,16,1,18,17,17,6.6923076923076925,False
P29376,3,13,14,12,6,9,6,11,25,1,6,17,7,8.75,False
Q8N461,21,3,6,6,5,2,2,2,5,16,41,15,21,8.666666666666666,False
Q9H0E3,6,5,1,19,4,3,3,3,4,3,4,6,51,5.083333333333333,False
Q8IZ16,3,3,3,3,1,3,1,3,3,3,1,8,2,2.4166666666666665,False
Q9BXS5,4,13,5,9,3,2,1,2,3,23,3,4,3,4.333333333333333,False
P05060,2,2,0,0,0,2,1,0,2,2,0,2,0,1.0,False
P36551,27,25,37,33,3,24,5,25,25,25,26,27,27,23.76923076923077,False
ENSP00000341058,1,1,1,1,1,1,1,1,1,1,1,0,1,0.9230769230769231,False
Q5BJD5,12,42,15,15,1,14,13,39,11,15,32,39,28,21.23076923076923,False
Q9P227,24,23,6,6,8,24,10,13,6,14,6,20,10,13.076923076923077,False
Q9P0T4,4,4,4,9,2,4,1,4,32,13,16,11,23,7.916666666666667,False
Q9BWF2,15,4,8,8,15,18,3,4,10,3,13,2,8,8.538461538461538,False
Q9H943,3,3,0,0,3,2,1,2,3,2,3,0,8,1.8333333333333333,False
Q9UHP9,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,False
P57740,6,7,13,14,4,3,11,4,5,4,4,7,6,6.769230769230769,False
Q9Y2D1,12,11,4,1,4,8,4,4,10,9,11,9,4,7.0,False
O15520,3,3,2,2,1,7,3,6,7,7,3,4,5,4.076923076923077,False
Q6ZU69,2,2,1,1,1,3,1,0,2,1,0,1,3,1.3846153846153846,False
Q9UDY8,6,6,7,7,49,49,6,49,6,5,49,5,6,19.23076923076923,False
ENSP00000409156,0,1,0,0,1,0,1,0,0,0,1,1,1,0.46153846153846156,False
Q96AA3,4,5,17,8,7,5,6,5,6,5,7,4,5,5.583333333333333,False
P13942,2,1,2,1,1,2,13,5,11,8,1,7,9,4.846153846153846,False
Q9BTE7,1,1,9,1,18,18,17,13,19,17,18,19,19,13.076923076923077,False
P18089,5,11,6,3,2,5,1,9,15,10,4,3,4,5.25,False
Q2TAM9,3,3,3,3,1,3,1,3,3,3,1,6,3,2.769230769230769,False
O95813,8,1,1,1,2,1,6,2,1,9,2,2,9,3.4615384615384617,False
Q96JM3,1,1,1,21,10,1,1,1,1,25,26,23,52,9.333333333333334,False
P02545,0,1,4,2,0,0,2,1,12,7,16,1,48,3.8333333333333335,False
Q99814,0,17,2,0,5,52,3,4,0,5,4,3,4,3.9166666666666665,False
Q7Z3C6,5,6,22,17,0,10,5,6,6,7,5,6,7,6.666666666666667,False
Q9BQJ4,1,1,7,7,3,5,2,1,3,3,5,4,5,3.6153846153846154,False
Q9NTJ4,32,31,41,35,30,27,31,28,33,28,30,33,33,30.916666666666668,True
Q6RSH7,1,6,6,6,1,1,7,6,9,12,21,7,8,5.833333333333333,False
Q8TAA1,0,0,0,0,1,0,1,0,0,0,1,3,5,0.8461538461538461,False
P29074,2,19,4,3,4,2,1,1,3,6,8,16,18,6.6923076923076925,False
Q5TGY3,2,2,2,2,1,2,2,2,2,2,1,2,2,1.8461538461538463,False
ENSP00000358171,1,1,1,1,1,1,1,1,1,1,1,0,1,0.9230769230769231,False
Q13618,8,7,6,6,4,5,6,4,5,7,4,6,4,5.538461538461538,False
P05187,1,1,13,0,0,54,3,31,31,46,39,29,35,21.76923076923077,False
Q15172,0,0,18,4,0,21,5,10,7,25,4,7,8,7.0,False
P07766,2,1,1,3,3,2,1,3,2,2,3,2,2,2.076923076923077,False
Q8TB05,4,4,4,4,3,9,11,7,8,8,8,8,9,6.6923076923076925,False
P36776,27,29,12,29,24,26,29,19,30,18,24,25,31,24.846153846153847,False
Q15758,4,55,53,9,2,51,56,39,21,37,38,45,41,34.69230769230769,True
Q5VYS4,1,1,1,1,1,2,1,2,1,2,1,2,1,1.3076923076923077,False
P45844,3,8,9,24,13,36,20,10,40,46,38,3,4,19.53846153846154,False
Q9P2H5,3,12,3,3,3,11,18,21,20,1,17,17,26,11.923076923076923,False
Q6GPH4,2,12,2,2,2,19,3,25,2,24,28,25,8,11.846153846153847,False
Q8TED9,4,4,3,4,3,2,2,3,4,2,4,2,3,3.076923076923077,False
Q99456,0,2,0,0,2,2,2,2,30,4,21,1,4,3.3333333333333335,False
ENSP00000383246,1,1,1,1,1,1,1,1,1,1,1,26,1,1.0,False
Q13237,7,7,24,23,0,52,1,20,22,19,42,20,50,22.076923076923077,False
Q5BKY9,5,7,4,28,25,11,9,8,25,23,25,22,5,15.153846153846153,False
Q68DD2,0,23,4,3,3,20,20,18,18,16,45,17,15,13.083333333333334,False
Q9ULX7,3,3,4,3,2,19,4,8,49,52,40,23,53,20.23076923076923,False
Q9Y5R5,1,1,1,1,1,4,2,9,18,4,1,14,3,3.5,False
Q5VVP1,1,1,0,1,3,5,1,2,3,3,1,1,1,1.7692307692307692,False
Q96CW1,7,7,6,7,2,5,2,5,5,13,2,4,9,5.083333333333333,False
Q5JU00,22,5,5,22,22,19,20,20,21,17,22,19,20,18.0,False
Q9Y5G8,2,2,8,2,3,2,5,4,11,6,10,10,6,5.461538461538462,False
Q9UNL4,2,7,8,25,2,16,15,8,15,23,6,13,11,11.615384615384615,False
Q07021,19,5,4,3,5,3,3,4,3,3,5,10,6,4.5,False
P51149,7,7,10,9,2,4,6,4,4,21,29,5,5,7.0,False
Q5D862,2,2,3,56,1,8,2,1,1,24,27,54,24,12.416666666666666,False
O95475,3,8,8,8,2,4,1,3,6,6,2,20,22,5.916666666666667,False
Q8N2A0,0,0,0,0,10,17,1,0,0,10,16,0,18,5.538461538461538,False
Q8NB14,2,6,4,5,4,16,14,14,15,1,15,20,21,10.538461538461538,False
O95727,8,2,2,2,2,0,1,0,1,1,6,2,4,1.9166666666666667,False
Q6IQ20,31,35,48,38,34,29,40,29,17,31,34,34,36,32.333333333333336,True
O75190,1,6,8,5,1,21,1,15,15,24,21,37,37,14.76923076923077,False
Q8ND04,13,12,0,3,13,11,1,1,2,1,13,1,2,5.615384615384615,False
P23416,3,1,9,1,44,8,4,4,53,51,44,7,5,18.0,False
Q9BQC6,7,2,2,2,6,7,3,3,2,3,6,3,6,4.0,False
O75449,0,0,2,20,0,0,14,14,21,1,37,20,17,9.083333333333334,False
Q6UXZ0,0,0,1,0,8,0,0,0,6,0,8,3,5,2.3846153846153846,False
Q1A5X6,1,1,0,2,1,3,1,1,3,3,1,3,3,1.7692307692307692,False
Q9Y5P2,0,0,0,0,0,0,1,0,0,0,0,1,1,0.23076923076923078,False
Q9BRY0,2,2,1,17,3,20,21,18,12,20,39,13,9,11.5,False
P27986,2,5,1,19,2,6,1,3,6,8,5,17,17,7.076923076923077,False
Q09470,1,1,7,9,1,5,0,1,35,48,31,1,2,7.833333333333333,False
Q9BYV9,2,28,2,2,2,25,1,2,2,8,22,4,3,6.25,False
P09430,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,False
Q13485,3,3,6,3,1,2,4,2,1,4,1,2,1,2.5384615384615383,False
Q8N7X8,1,1,1,1,1,0,1,0,1,0,2,0,0,0.6923076923076923,False
Q8N7U6,9,8,9,9,0,24,5,6,8,5,21,5,7,7.666666666666667,False
P12429,3,25,24,10,2,28,9,18,17,18,33,20,20,17.46153846153846,False
P18846,1,1,1,0,0,7,0,4,9,4,16,2,3,2.6666666666666665,False
O95050,4,13,10,1,1,10,11,9,9,11,51,9,9,8.083333333333334,False
Q06481,2,8,3,7,1,6,7,3,4,3,4,3,4,4.230769230769231,False
P59510,1,1,1,1,4,1,18,4,4,5,4,3,5,2.8333333333333335,False
Q96QU4,1,1,3,1,3,4,1,2,2,2,2,2,2,2.0,False
Q9NXT0,0,0,0,3,0,0,1,0,32,14,7,21,12,4.833333333333333,False
Q49AJ0,3,21,4,3,4,22,20,18,19,23,21,7,9,13.384615384615385,False
O15229,33,5,7,35,5,34,16,6,7,6,28,35,6,17.153846153846153,False
ENSP00000415690,1,1,1,1,1,1,1,1,1,1,1,7,14,1.5,False
P49675,6,0,0,0,0,6,6,6,0,1,14,21,20,6.153846153846154,False
Q8WVP5,1,1,8,2,2,3,4,4,8,6,4,5,4,4.0,False
Q8N300,5,1,5,5,1,5,5,5,5,5,1,6,5,4.153846153846154,False
P98088,3,3,0,12,3,5,0,4,11,1,49,4,10,4.666666666666667,False
Q969H6,9,7,7,14,21,11,5,14,10,15,21,10,9,11.76923076923077,False
Q9NR23,3,2,2,4,2,1,1,0,2,8,3,5,2,2.25,False
Q92901,4,4,3,2,6,0,2,8,7,5,6,24,20,5.583333333333333,False
P52756,24,18,21,21,9,16,12,12,11,21,9,14,13,15.461538461538462,False
P62750,4,13,12,15,2,21,13,4,7,24,12,33,29,14.538461538461538,False
O75360,4,4,3,6,21,5,13,5,7,24,20,23,9,11.076923076923077,False
O43897,1,1,5,7,3,22,1,2,1,10,15,12,2,5.0,False
Q9NP74,0,1,1,0,0,0,0,0,1,4,0,0,1,0.6153846153846154,False
Q6NXN4,0,0,0,0,0,0,18,0,0,27,19,6,7,4.166666666666667,False
P51449,0,0,12,5,1,9,3,6,7,1,2,5,5,3.6666666666666665,False
ENSP00000401825,1,1,1,1,1,1,1,1,1,1,1,17,16,1.0,False
Q9Y536,1,1,38,1,1,1,25,54,42,52,25,58,59,27.53846153846154,True
Q96DB5,21,20,4,16,18,20,20,20,21,22,17,19,21,18.384615384615383,False
Q99578,1,10,12,1,1,12,22,28,11,21,22,23,25,14.538461538461538,False
Q13347,6,7,8,8,4,4,4,3,5,4,4,4,29,5.083333333333333,False
Q16322,1,1,1,4,1,33,1,6,41,45,31,1,2,12.923076923076923,False
O95872,1,0,8,1,1,11,6,9,6,6,1,5,5,4.615384615384615,False
Q9BSE2,2,2,0,3,9,8,5,8,2,8,9,1,1,4.461538461538462,False
Q9NTX7,8,9,4,3,4,3,4,3,6,3,4,19,6,4.75,False
Q8TC76,2,2,1,2,1,1,2,2,3,0,1,1,2,1.5384615384615385,False
Q9Y2N7,1,59,6,6,1,4,5,10,7,8,4,8,8,5.666666666666667,False
P0C5Y4,1,1,1,1,1,1,1,7,17,30,1,15,3,4.166666666666667,False
Q8NI99,2,1,1,2,1,12,13,10,7,11,3,9,12,6.461538461538462,False
Q5H8A3,4,0,0,2,2,4,1,2,2,4,2,2,3,2.1538461538461537,False
Q15032,0,17,1,1,3,19,7,20,17,19,15,4,3,9.692307692307692,False
Q96HU8,2,5,4,8,5,4,5,3,3,22,11,17,20,8.384615384615385,False
O75608,2,4,20,0,1,37,32,34,7,43,18,30,28,19.692307692307693,False
Q8N5C8,1,6,1,6,1,5,1,1,6,6,5,4,1,3.3846153846153846,False
Q9Y4P8,5,4,13,13,2,7,5,8,10,24,9,8,9,7.75,False
Q6UWM9,1,1,13,0,0,54,7,6,19,1,34,38,38,13.166666666666666,False
